"DriverName","Points","Wins","LapsLead"
"Lewis Hamilton","413","11","511"
"Valtteri Bottas","326","4","185"
"Max Verstappen","278","3","156"
"Charles Leclerc","264","2","246"
"Sebastian Vettel","240","1","160"
"Carlos Sainz","96","0","0"
"Pierre Gasly","95","0","0"
"Alexander Albon","92","0","0"
"Daniel Riccardo","54","0","0"
"Sergio Perez","52","0","0"
"Lando Norris","49","0","0"
"Kimi Räikkönen","43","0","0"
"Daniil Kvyat","37","0","0"
"Nico Hulkenberg","37","0","0"
"Lance Stroll","21","0","0"
"Kevin Magnussen","20","0","0"
"Antonio Geovinazzi","14","0","0"
"Romain Grosjean","8","0","0"
"Robert Kubica","1","0","0"
"George Russell","0","0","0"
